constructor_id,name,nationality,url
kuzma,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor)
lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky
maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati
osca,OSCA,Italian,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili
schroeder,Schroeder,American,http://en.wikipedia.org/wiki/Schroeder_(constructor)
simca,Simca,French,http://en.wikipedia.org/wiki/Simca
stevens,Stevens,American,http://en.wikipedia.org/wiki/Stevens_(constructor)
turner,Turner,American,http://en.wikipedia.org/wiki/Turner_(constructor)
veritas,Veritas,German,http://en.wikipedia.org/wiki/Veritas_(constructor)
watson,Watson,American,http://en.wikipedia.org/wiki/A.J._Watson
bromme,Bromme,American,http://en.wikipedia.org/wiki/Bromme
connaught,Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering
cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
gordini,Gordini,French,http://en.wikipedia.org/wiki/Gordini
hwm,HWM,British,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors
klenk,Klenk,German,http://en.wikipedia.org/wiki/Klenk
kurtis_kraft,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft
kuzma,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor)
lancia,Lancia,Italian,http://en.wikipedia.org/wiki/Lancia_in_Formula_One
maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati
mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
nichels,Nichels,American,http://en.wikipedia.org/wiki/Nichels
pankratz,Pankratz,American,http://en.wikipedia.org/wiki/Pankratz
pawl,Pawl,American,http://en.wikipedia.org/wiki/Pawl_(constructor)
phillips,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor)
schroeder,Schroeder,American,http://en.wikipedia.org/wiki/Schroeder_(constructor)
stevens,Stevens,American,http://en.wikipedia.org/wiki/Stevens_(constructor)
vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall
arzani-volpini,Arzani-Volpini,Italian,http://en.wikipedia.org/wiki/Arzani-Volpini
connaught,Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering
cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
epperly,Epperly,American,http://en.wikipedia.org/wiki/Epperly
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
gordini,Gordini,French,http://en.wikipedia.org/wiki/Gordini
hwm,HWM,British,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors
kurtis_kraft,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft
kuzma,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor)
lancia,Lancia,Italian,http://en.wikipedia.org/wiki/Lancia_in_Formula_One
maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati
mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
pankratz,Pankratz,American,http://en.wikipedia.org/wiki/Pankratz
pawl,Pawl,American,http://en.wikipedia.org/wiki/Pawl_(constructor)
phillips,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor)
schroeder,Schroeder,American,http://en.wikipedia.org/wiki/Schroeder_(constructor)
stevens,Stevens,American,http://en.wikipedia.org/wiki/Stevens_(constructor)
trevis,Trevis,American,http://en.wikipedia.org/wiki/Trevis
vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall
brm,BRM,British,http://en.wikipedia.org/wiki/BRM
bugatti,Bugatti,French,http://en.wikipedia.org/wiki/Bugatti
connaught,Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering
cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
emeryson,Emeryson,British,http://en.wikipedia.org/wiki/Emeryson
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
gordini,Gordini,French,http://en.wikipedia.org/wiki/Gordini
kurtis_kraft,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft
kuzma,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor)
lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky
maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati
phillips,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor)
stevens,Stevens,American,http://en.wikipedia.org/wiki/Stevens_(constructor)
vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall
watson,Watson,American,http://en.wikipedia.org/wiki/A.J._Watson
brm,BRM,British,http://en.wikipedia.org/wiki/BRM
connaught,Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering
cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
dunn,Dunn,American,http://en.wikipedia.org/wiki/Dunn_Engineering
epperly,Epperly,American,http://en.wikipedia.org/wiki/Epperly
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
kurtis_kraft,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft
kuzma,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor)
lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky
maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati
phillips,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor)
porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One
vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall
watson,Watson,American,http://en.wikipedia.org/wiki/A.J._Watson
brm,BRM,British,http://en.wikipedia.org/wiki/BRM
connaught,Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering
cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
dunn,Dunn,American,http://en.wikipedia.org/wiki/Dunn_Engineering
epperly,Epperly,American,http://en.wikipedia.org/wiki/Epperly
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
kurtis_kraft,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft
kuzma,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor)
lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky
maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati
osca,OSCA,Italian,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili
phillips,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor)
porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One
team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus
vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall
watson,Watson,American,http://en.wikipedia.org/wiki/A.J._Watson
aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
brm,BRM,British,http://en.wikipedia.org/wiki/BRM
vhristensen,Christensen,American,http://en.wikipedia.org/wiki/Christensen_(constructor)
connaught,Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering
cooper-borgward,Cooper-Borgward,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-osca,Cooper-OSCA,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
dunn,Dunn,American,http://en.wikipedia.org/wiki/Dunn_Engineering
elder,Elder,American,http://en.wikipedia.org/wiki/Elder_(constructor)
epperly,Epperly,American,http://en.wikipedia.org/wiki/Epperly
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
fry,Fry,British,http://en.wikipedia.org/wiki/Fry_(racing_team)
jbw,JBW,British,http://en.wikipedia.org/wiki/JBW
kurtis_kraft,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft
kuzma,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor)
lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky
maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati
moore,Moore,American,http://en.wikipedia.org/wiki/Moore_(constructor)
phillips,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor)
porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One
sutton,Sutton,American,http://en.wikipedia.org/wiki/Sutton_(constructor)
team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus
tec-mec,Tec-Mec,Italian,http://en.wikipedia.org/wiki/Tec-Mec
vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall
watson,Watson,American,http://en.wikipedia.org/wiki/A.J._Watson
aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
behra-porsche,Behra-Porsche,Italian,http://en.wikipedia.org/wiki/Behra-Porsche
brm,BRM,British,http://en.wikipedia.org/wiki/BRM
vhristensen,Christensen,American,http://en.wikipedia.org/wiki/Christensen_(constructor)
cooper-castellotti,Cooper-Castellotti,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
epperly,Epperly,American,http://en.wikipedia.org/wiki/Epperly
ewing,Ewing,American,http://en.wikipedia.org/wiki/Ewing_(constructor)
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
jbw,JBW,British,http://en.wikipedia.org/wiki/JBW
kurtis_kraft,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft
kuzma,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor)
lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky
maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati
meskowski,Meskowski,American,http://en.wikipedia.org/wiki/Meskowski
phillips,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor)
porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One
scarab,Scarab,American,http://en.wikipedia.org/wiki/Scarab_(constructor)
team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus
trevis,Trevis,American,http://en.wikipedia.org/wiki/Trevis
vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall
watson,Watson,American,http://en.wikipedia.org/wiki/A.J._Watson
brm,BRM,British,http://en.wikipedia.org/wiki/BRM
cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,http://en.wikipedia.org/wiki/De_Tomaso
de_tomaso-osca,De Tomaso-Osca,Italian,http://en.wikipedia.org/wiki/De_Tomaso
emeryson,Emeryson,British,http://en.wikipedia.org/wiki/Emeryson
ferguson,Ferguson,British,http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
gilby,Gilby,British,http://en.wikipedia.org/wiki/Gilby
jbw,JBW,British,http://en.wikipedia.org/wiki/JBW
lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus
lotus-maserati,Lotus-Maserati,British,http://en.wikipedia.org/wiki/Team_Lotus
mbm,MBM,Swiss,http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors
porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One
brabham,Brabham,British,http://en.wikipedia.org/wiki/Brabham
brm,BRM,British,http://en.wikipedia.org/wiki/BRM
cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-alfa_romeo,Cooper-Alfa Romeo,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
tomaso,De Tomaso,Italian,http://en.wikipedia.org/wiki/De_Tomaso
de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,http://en.wikipedia.org/wiki/De_Tomaso
de_tomaso-osca,De Tomaso-Osca,Italian,http://en.wikipedia.org/wiki/De_Tomaso
emeryson,Emeryson,British,http://en.wikipedia.org/wiki/Emeryson
enb,ENB,Belgian,http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
gilby,Gilby,British,http://en.wikipedia.org/wiki/Gilby
lds,LDS,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
lola,Lola,British,http://en.wikipedia.org/wiki/MasterCard_Lola
lotus-borgward,Lotus-Borgward,British,http://en.wikipedia.org/wiki/Team_Lotus
lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus
lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus
porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One
team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus
alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
ats,ATS,Italian,http://en.wikipedia.org/wiki/ATS_(wheels)
brabham,Brabham,British,http://en.wikipedia.org/wiki/Brabham
brm,BRM,British,http://en.wikipedia.org/wiki/BRM
brp,BRP,British,http://en.wikipedia.org/wiki/British_Racing_Partnership
cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
tomaso,De Tomaso,Italian,http://en.wikipedia.org/wiki/De_Tomaso
de_tomaso-ferrari,De Tomaso-Ferrari,Italian,http://en.wikipedia.org/wiki/De_Tomaso
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
gilby,Gilby,British,http://en.wikipedia.org/wiki/Gilby
lds,LDS,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
lola,Lola,British,http://en.wikipedia.org/wiki/MasterCard_Lola
lotus-borgward,Lotus-Borgward,British,http://en.wikipedia.org/wiki/Team_Lotus
lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus
lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus
lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus
lotus-maserati,Lotus-Maserati,British,http://en.wikipedia.org/wiki/Team_Lotus
porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One
scirocco,Scirocco,British,http://en.wikipedia.org/wiki/Scirocco-Powell
stebro,Stebro,Canadian,http://en.wikipedia.org/wiki/Stebro
team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus
brabham-brm,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham
brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham
brabham-ford,Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham
brm,BRM,British,http://en.wikipedia.org/wiki/BRM
brp,BRP,British,http://en.wikipedia.org/wiki/British_Racing_Partnership
cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
derrington,Derrington,British,http://en.wikipedia.org/wiki/Derrington-Francis
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1
lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus
lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus
porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One
scirocco,Scirocco,British,http://en.wikipedia.org/wiki/Scirocco-Powell
alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
brabham-brm,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham
brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham
brabham-ford,Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham
brm,BRM,British,http://en.wikipedia.org/wiki/BRM
cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-ford,Cooper-Ford,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1
lds-alfa_romeo,LDS-Alfa Romeo,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
lds-climax,LDS-Climax,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus
lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus
lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus
re,RE,Rhodesian,http://en.wikipedia.org/wiki/RE_%28automobile%29
brabham-brm,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham
brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham
brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham
brm,BRM,British,http://en.wikipedia.org/wiki/BRM
cooper-ferrari,Cooper-Ferrari,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
eagle-climax,Eagle-Climax,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
eagle-weslake,Eagle-Weslake,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1
lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus
lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus
mclaren-ford,McLaren-Ford,British,http://en.wikipedia.org/wiki/Team_McLaren
mclaren-seren,McLaren-Serenissima,British,http://en.wikipedia.org/wiki/Team_McLaren
shannon,Shannon,British,http://en.wikipedia.org/wiki/Shannon_(Formula_One)
brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham
brabham-ford,Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham
brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham
brm,BRM,British,http://en.wikipedia.org/wiki/BRM
cooper-ats,Cooper-ATS,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
eagle-climax,Eagle-Climax,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
eagle-weslake,Eagle-Weslake,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1
lds-climax,LDS-Climax,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
lola,Lola,British,http://en.wikipedia.org/wiki/MasterCard_Lola
lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus
lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus
lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus
matra,Matra,French,http://en.wikipedia.org/wiki/Matra
mclaren-brm,McLaren-BRM,British,http://en.wikipedia.org/wiki/McLaren_(racing)
mclaren-ford,McLaren-Ford,British,http://en.wikipedia.org/wiki/Team_McLaren
protos,Protos,British,http://en.wikipedia.org/wiki/Protos_(constructor)
brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham
brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham
brm,BRM,British,http://en.wikipedia.org/wiki/BRM
cooper-brm,Cooper-BRM,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
eagle-weslake,Eagle-Weslake,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1
lds,LDS,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
lola,Lola,British,http://en.wikipedia.org/wiki/MasterCard_Lola
lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus
